Vehicle Number,Date,Time
WB33FG8209,13-08-2023,17:30:50
WB16GH4523,13-08-2023,19:00:25
WB28HJ1698,13-08-2023,20:25:15
WB07JK5302,13-08-2023,21:45:30
WB42KL8715,13-08-2023,23:10:45
WB03AB1234,13-08-2023,10:05:22
WB08CD5678,13-08-2023,15:40:58
WB22EF8901,13-08-2023,18:30:15
WB14GH4567,13-08-2023,21:50:40
WB09IJ7890,13-08-2023,12:25:07
WB01AE8582,15-10-2023,09:07:32
WB69FU6969,15-10-2023,13:41:12
WB25CD1423,15-10-2023,23:08:30
WB60JB2023,15-10-2023,08:04:34
WB24AB3222,15-10-2023,19:45:37
WB12CA9056,15-10-2023,12:40:10
WB77DB8779,15-10-2023,15:53:00
WB65AU8002,15-10-2023,11:15:30
WB31BE3001,15-10-2023,15:02:45
WB21BD6713,15-10-2023,12:08:40
WB54AE4009,06-10-2023,10:33:30
WB78SE5678,06-10-2023,09:21:45
WB78DR5625,06-10-2023,16:52:28
WB30VG6754,07-10-2023,09:08:45
WB78MO6752,07-10-2023,11:43:31
WB90BU4917,09-10-2023,07:38:10
WB78SD2389,08-10-2023,02:10:41
WB78DT6784,10-10-2023,16:36:24
WB21BU2222,11-10-2023,09:18:37
WB11XY5612,06-10-2023,15:20:00
WB28AB1925,11-10-2023,21:50:28
WB16PR2004,12-10-2023,07:25:55
WB16PR2004,12-10-2023,07:49:12
WB77WE1235,12-10-2023,09:15:56
WB33IU8912,12-10-2023,10:17:45
WB76AU7878,12-10-2023,12:15:45
WB23YU8191,12-10-2023,15:48:02
WB66GH2921,12-10-2023,17:50:21
WB21CB5432,16-10-2023,22:17:00
WB41OC8530,16-10-2023,14:29:20
WB51BA0991,16-10-2023,06:32:30
WB31DE3561,16-10-2023,10:42:30
WB21AP4009,16-10-2023,16:00:12
WB60BW7123,16-10-2023,20:00:40
WB48AT6545,16-10-2023,17:50:00
WB56DQ5676,06-10-2023,11:52:00
