Vehicle Number,Date,Time
WB03AB1234,13-08-2023,10:25:22
WB08CD5678,13-08-2023,16:00:58
WB14GH4567,13-08-2023,22:10:40
WB09IJ7890,13-08-2023,12:45:07
WB24AB3222,15-10-2023,20:05:37
WB31BE3001,15-10-2023,15:22:45
WB54AE4009,06-10-2023,10:52:51
WB78SE5678,06-10-2023,09:35:23
WB78DR5625,06-10-2023,16:32:23
WB56DQ5676,07-10-2023,00:12:34
WB30VG6754,07-10-2023,08:50:37
WB78MO6752,07-10-2023,11:13:23
WB10TY1029,08-10-2023,21:08:39
WB10TY1029,08-10-2023,21:19:26
WB90BU4917,09-10-2023,07:20:13
WB78SD2389,08-10-2023,01:55:56
WB78DT6784,10-10-2023,16:54:29
WB88BQ6767,10-10-2023,21:03:54
WB28AB1925,11-10-2023,21:28:28
WB61VY2309,12-10-2023,08:29:23
WB76AU7878,12-10-2023,12:35:45
WB23YU8191,12-10-2023,15:28:02
WB66GH2921,12-10-2023,17:30:21
WB21CB5432,16-10-2023,22:37:00
WB41OC8530,16-10-2023,14:09:20
WB21AP4009,16-10-2023,16:20:12
WB60BW7123,16-10-2023,20:20:40
WB48AT6545,16-10-2023,18:10:00
WB76BJ9976,16-10-2023,17:02:00
