Vehicle Number,Date,Time
WB03AB1234,13-08-2023,10:37:22
WB08CD5678,13-08-2023,16:12:58
WB14GH4567,13-08-2023,22:22:40
WB09IJ7890,13-08-2023,12:57:07
WB24AB3222,15-10-2023,20:17:37
WB31BE3001,15-10-2023,15:34:45
WB54AE4009,06-10-2023,11:05:56
WB30VG6754,07-10-2023,08:38:25
WB78MO6752,07-10-2023,11:01:34
WB10TY1029,08-10-2023,20:56:19
WB10TY1029,08-10-2023,21:31:56
WB78SD2389,08-10-2023,01:45:34
WB88BQ6767,10-10-2023,20:50:24
WB28AB1925,11-10-2023,21:15:23
WB61VY2309,12-10-2023,08:17:28
WB61VY2309,12-10-2023,08:41:34
WB76AU7878,12-10-2023,12:47:45
WB23YU8191,12-10-2023,15:15:03
WB21CB5432,16-10-2023,22:49:00
WB41OC8530,16-10-2023,13:57:20
WB60BW7123,16-10-2023,20:32:40
WB12BP2311,16-10-2023,04:32:50
WB76BJ9976,16-10-2023,16:50:00
