Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:42:30
WB22BF6712,13-08-2023,11:12:22
WB14DT3987,13-08-2023,14:47:40
WB09EP7465,13-08-2023,16:22:10
WB33FG8209,13-08-2023,17:49:50
WB16GH4523,13-08-2023,19:19:25
WB07JK5302,13-08-2023,22:04:30
WB42KL8715,13-08-2023,23:29:45
WB01AE8582,15-10-2023,08:48:32
WB69FU6969,15-10-2023,13:14:12
WB25CD1423,15-10-2023,22:49:30
WB60JB2023,15-10-2023,08:51:34
WB90AA8767,15-10-2023,15:24:10
WB90AA8767,15-10-2023,15:32:10
WB12CA9056,15-10-2023,12:59:10
WB77DB8779,15-10-2023,15:34:00
WB65AU8002,15-10-2023,12:02:30
WB21BD6713,15-10-2023,11:43:40
WB21BD6713,15-10-2023,12:27:40
WB56DQ5676,06-10-2023,23:34:19
WB78MO6752,07-10-2023,11:03:45
WB95BU4989,09-10-2023,09:41:48
WB77WE1235,12-10-2023,09:35:16
WB49ER4521,12-10-2023,14:16:22
WB12BB0080,16-10-2023,18:34:23
WB41OC8530,16-10-2023,14:48:20
WB71AE3262,16-10-2023,07:42:43
WB72CD4319,16-10-2023,11:27:12
WB23MW7835,16-10-2023,08:16:10
WB95BP5555,16-10-2023,10:34:23
WB81CS3007,16-10-2023,03:20:55
WB23YU8191,12-10-2023,16:01:02
WB10GD8787,14-10-2023,05:40:10
