Vehicle Number,Date,Time
WB03AB1234,13-08-2023,10:47:22
WB08CD5678,13-08-2023,16:22:58
WB09IJ7890,13-08-2023,13:07:07
WB31BE3001,15-10-2023,15:44:45
WB54AE4009,06-10-2023,11:15:58
WB30VG6754,07-10-2023,08:24:23
WB10TY1029,08-10-2023,20:45:32
WB10TY1029,08-10-2023,21:43:28
WB78SD2389,08-10-2023,01:35:23
WB88BQ6767,10-10-2023,20:38:23
WB61VY2309,12-10-2023,08:07:22
WB61VY2309,12-10-2023,08:51:55
WB23YU8191,12-10-2023,15:05:02
WB41OC8530,16-10-2023,13:47:20
WB12BP2311,16-10-2023,04:42:50
WB76BJ9976,16-10-2023,16:40:00
