Vehicle Number,Date,Time
WB03AB1234,13-08-2023,10:20:22
WB08CD5678,13-08-2023,15:55:58
WB14GH4567,13-08-2023,22:05:40
WB09IJ7890,13-08-2023,12:40:07
WB25CD1423,15-10-2023,23:23:30
WB24AB3222,15-10-2023,20:00:37
WB77DB8779,15-10-2023,16:08:00
WB31BE3001,15-10-2023,15:17:45
WB54AE4009,06-10-2023,10:48:56
WB78SE5678,06-10-2023,09:26:34
WB78DR5625,06-10-2023,16:38:18
WB56DQ5676,07-10-2023,00:07:39
WB30VG6754,07-10-2023,08:54:35
WB78MO6752,07-10-2023,11:18:19
WB10TY1029,08-10-2023,21:14:36
WB78SD2389,08-01-2023,01:58:23
WB78DT6784,10-10-2023,16:48:23
WB28AB1925,11-10-2023,21:33:19
WB77WE1235,12-10-2023,09:00:45
WB76AU7878,12-10-2023,12:30:45
WB23YU8191,12-10-2023,15:33:30
WB66GH2921,12-10-2023,17:35:21
WB21CB5432,16-10-2023,22:32:00
WB41OC8530,16-10-2023,14:14:20
WB31DE3561,16-10-2023,10:27:30
WB21AP4009,16-10-2023,16:15:12
WB60BW7123,16-10-2023,20:15:40
WB48AT6545,16-10-2023,18:05:00
WB76BJ9976,16-10-2023,17:09:00
WB90BU4917,09-10-2023,07:25:00
