Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:35:30
WB22BF6712,13-08-2023,11:05:22
WB14DT3987,13-08-2023,14:40:40
WB09EP7465,13-08-2023,16:15:10
WB33FG8209,13-08-2023,17:42:50
WB16GH4523,13-08-2023,19:12:25
WB07JK5302,13-08-2023,21:57:30
WB42KL8715,13-08-2023,23:22:45
WB01AE8582,15-10-2023,08:55:32
WB69FU6969,15-10-2023,13:21:12
WB25CD1423,15-10-2023,22:56:30
WB60JB2023,15-10-2023,08:44:34
WB90AA8767,15-10-2023,15:17:10
WB90AA8767,15-10-2023,15:39:10
WB24AB3222,15-10-2023,19:25:37
WB12CA9056,15-10-2023,12:52:10
WB77DB8779,15-10-2023,15:41:00
WB65AU8002,15-10-2023,11:55:30
WB31BE3001,15-10-2023,14:50:45
WB21BD6713,15-10-2023,11:56:40
WB21BD6713,15-10-2023,12:20:40
WB78DR5625,06-10-2023,17:07:34
WB56DQ5676,06-10-2023,23:40:19
WB78MO6752,07-10-2023,11:55:58
WB90BU4917,09-10-2023,07:52:30
WB78SD2389,08-10-2023,02:21:39
WB11XY5612,06-10-2023,15:01:55
WB10GD8787,14-10-2023,05:36:24
WB16PR2004,12-10-2023,07:37:13
WB71TY5151,12-10-2023,11:21:34
WB49ER4521,12-10-2023,14:09:22
WB23YU8191,12-10-2023,16:00:02
WB12BB0080,16-10-2023,18:41:23
WB41OC8530,16-10-2023,14:41:20
WB71AE3262,16-10-2023,07:35:43
WB72CD4319,16-10-2023,11:20:12
WB23MW7835,16-10-2023,08:23:10
WB81CS3007,16-10-2023,03:27:55
WB95EA4644,16-10-2023,13:01:44
