Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:46:30
WB22BF6712,13-08-2023,11:16:22
WB14DT3987,13-08-2023,14:51:40
WB09EP7465,13-08-2023,16:26:10
WB33FG8209,13-08-2023,17:53:50
WB16GH4523,13-08-2023,19:53:25
WB07JK5302,13-08-2023,22:08:30
WB42KL8715,13-08-2023,23:33:45
WB01AE8582,15-10-2023,08:44:32
WB69FU6969,15-10-2023,13:10:12
WB25CD1423,15-10-2023,22:45:30
WB90AA8767,15-10-2023,15:28:10
WB12CA9056,15-10-2023,13:03:10
WB77DB8779,15-10-2023,15:29:00
WB65AU8002,15-10-2023,12:06:30
WB21BD6713,15-10-2023,11:39:40
WB21BD6713,15-10-2023,12:31:40
WB90BU4917,09-10-2023,07:57:39
WB11XY5612,06-10-2023,14:52:34
WB10GD8787,14-10-2023,05:29:34
WB71TY5151,12-10-2023,11:17:43
WB49ER4521,12-10-2023,14:05:32
WB23YU8191,12-10-2023,16:04:02
WB12BB0080,16-10-2023,18:30:23
WB41OC8530,16-10-2023,14:52:20
WB23MW7835,16-10-2023,08:12:10
WB95BP5555,16-10-2023,10:38:23
WB81CS3007,16-10-2023,03:16:55
