Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:55:30
WB22BF6712,13-08-2023,11:25:22
WB14DT3987,13-08-2023,15:00:40
WB09EP7465,13-08-2023,16:35:10
WB33FG8209,13-08-2023,18:02:50
WB16GH4523,13-08-2023,20:02:25
WB42KL8715,13-08-2023,23:42:45
WB01AE8582,15-10-2023,08:35:32
WB77DB8779,15-10-2023,15:20:00
WB65AU8002,15-10-2023,12:15:30
WB21BD6713,15-10-2023,11:30:40
WB21BD6713,15-10-2023,12:40:40
WB11XY5612,06-10-2023,14:45:43
WB10GD8787,14-10-2023,05:20:23
WB71TY5151,12-10-2023,11:08:33
WB23YU8191,12-10-2023,16:13:02
WB12BB0080,16-10-2023,18:21:23
WB41OC8530,16-10-2023,15:01:20
WB95BP5555,16-10-2023,10:47:23
