Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:25:30
WB22BF6712,13-08-2023,10:55:22
WB05CR5241,13-08-2023,12:40:15
WB14DT3987,13-08-2023,14:30:40
WB09EP7465,13-08-2023,16:05:10
WB33FG8209,13-08-2023,17:20:50
WB16GH4523,13-08-2023,18:50:25
WB28HJ1698,13-08-2023,20:15:15
WB07JK5302,13-08-2023,21:35:30
WB42KL8715,13-08-2023,23:00:45
WB03AB1234,13-08-2023,09:55:22
WB08CD5678,13-08-2023,15:30:58
WB22EF8901,13-08-2023,18:20:15
WB14GH4567,13-08-2023,21:40:40
WB09IJ7890,13-08-2023,12:15:07
WB01AE8582,15-10-2023,09:17:32
WB69FU6969,15-10-2023,13:31:12
WB60JB2023,15-10-2023,08:14:34
WB60JB2023,15-10-2023,08:34:34
WB24AB3222,15-10-2023,19:35:37
WB12CA9056,15-10-2023,12:10:10
WB12CA9056,15-10-2023,12:30:10
WB65AU8002,15-10-2023,11:25:30
WB65AU8002,15-10-2023,11:45:30
WB78SE5678,06-10-2023,09:06:06
WB56DQ5676,06-10-2023,23:25:56
WB95BU4989,09-10-2023,09:31:34
WB78DT6784,10-10-2023,16:25:28
WB21BU2222,11-10-2023,09:28:39
WB28AB1925,11-10-2023,22:00:01
WB16PR2004,12-10-2023,07:15:34
WB77WE1235,12-10-2023,09:25:55
WB33IU8912,12-10-2023,10:07:31
WB39FR3434,12-10-2023,13:18:22
WB39FR3434,12-10-2023,13:28:22
WB49ER4521,12-10-2023,14:26:32
WB66GH2921,12-10-2023,18:00:21
WB71AE3262,16-10-2023,07:25:43
WB72CD4319,16-10-2023,11:10:12
WB51BA0991,16-10-2023,06:22:30
WB31DE3561,16-10-2023,10:52:30
WB31DE3561,16-10-2023,11:12:30
WB21AP4009,16-10-2023,15:50:12
WB60BW7123,16-10-2023,19:50:40
WB48AT6545,16-10-2023,17:40:00
WB95EA4644,16-10-2023,13:11:44
WB48AT6591,10-11-2023,11:32:10
