Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:30:30
WB22BF6712,13-08-2023,11:00:22
WB14DT3987,13-08-2023,14:35:40
WB09EP7465,13-08-2023,16:10:10
WB69FU6969,15-10-2023,13:26:12
WB60JB2023,15-10-2023,08:39:34
WB90AA8767,15-10-2023,15:12:10
WB24AB3222,15-10-2023,19:30:37
WB12CA9056,15-10-2023,12:05:10
WB65AU8002,15-10-2023,11:50:30
WB31BE3001,15-10-2023,14:45:45
WB56DQ5676,06-10-2023,23:29:39
WB10GD8787,14-10-2023,05:45:39
WB77WE1235,12-10-2023,09:30:33
WB33IU8912,12-10-2023,10:02:56
WB39FR3434,12-10-2023,13:23:29
WB49ER4521,12-10-2023,14:21:22
WB71AE3262,16-10-2023,07:30:43
WB72CD4319,16-10-2023,11:15:12
WB31DE3561,16-10-2023,11:17:30
WB21AP4009,16-10-2023,15:45:12
WB95EA4644,16-10-2023,13:06:44
WB95BU4989,09-10-2023,09:36:00
