Vehicle Number,Date,Time
WB33FG8209,13-08-2023,17:37:50
WB16GH4523,13-08-2023,19:07:25
WB28HJ1698,13-08-2023,20:32:15
WB07JK5302,13-08-2023,21:52:30
WB42KL8715,13-08-2023,23:17:45
WB01AE8582,15-10-2023,09:00:32
WB69FU6969,15-10-2023,13:48:12
WB25CD1423,15-10-2023,23:01:30
WB90AA8767,15-10-2023,15:44:10
WB24AB3222,15-10-2023,19:20:37
WB12CA9056,15-10-2023,12:47:10
WB77DB8779,15-10-2023,15:46:00
WB31BE3001,15-10-2023,14:55:45
WB21BD6713,15-10-2023,12:01:40
WB21BD6713,15-10-2023,12:15:40
WB78DR5625,06-10-2023,17:01:16
WB56DQ5676,06-10-2023,23:46:39
WB78MO6752,07-10-2023,11:50:32
WB90BU4917,09-10-2023,07:45:34
WB21BU2222,11-10-2023,09:05:23
WB11XY5612,06-10-2023,15:06:20
WB16PR2004,12-10-2023,07:32:31
WB16PR2004,12-10-2023,07:42:45
WB33IU8912,12-10-2023,10:24:23
WB71TY5151,12-10-2023,11:26:22
WB23YU8191,12-10-2023,15:55:02
WB21CB5432,16-10-2023,22:10:00
WB41OC8530,16-10-2023,14:36:20
WB23MW7835,16-10-2023,08:28:10
WB81CS3007,16-10-2023,03:32:55
WB78SD2389,08-10-2023,02:16:00
