Vehicle Number,Date,Time
WB38AH9293,13-08-2023,09:50:30
WB22BF6712,13-08-2023,11:20:22
WB14DT3987,13-08-2023,14:55:40
WB09EP7465,13-08-2023,16:30:10
WB33FG8209,13-08-2023,17:57:50
WB16GH4523,13-08-2023,19:57:25
WB42KL8715,13-08-2023,23:37:45
WB01AE8582,15-10-2023,08:40:32
WB25CD1423,15-10-2023,22:41:30
WB12CA9056,15-10-2023,13:07:10
WB77DB8779,15-10-2023,15:25:00
WB65AU8002,15-10-2023,12:10:30
WB21BD6713,15-10-2023,11:35:40
WB21BD6713,15-10-2023,12:35:40
WB11XY5612,06-10-2023,14:48:41
WB10GD8787,14-10-2023,05:25:34
WB71TY5151,12-10-2023,11:13:54
WB39FR3434,12-10-2023,13:38:22
WB23YU8191,12-10-2023,16:08:02
WB12BB0080,16-10-2023,18:26:23
WB41OC8530,16-10-2023,14:56:20
WB95BP5555,16-10-2023,10:42:23
WB81CS3007,16-10-2023,03:12:55
