location,akansha,Biswa_Bangla,cc1,cc2,Coal India,College More,dlf2,eco-space,Ecopark,jatragachi,Karunamoyee,Newtown Bus Stand,shrachi,uem,Westin
akansha,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Biswa_Bangla,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
cc1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cc2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Coal India,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
College More,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
dlf2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
eco-space,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ecopark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jatragachi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Karunamoyee,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Newtown Bus Stand,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
shrachi,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Westin,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
